hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento
21,quinta,não,verão,33.3,0.12,72.4,0.0,88.0%,2.05
0,segunda,não,outono,25.0,0.0,73.1,0.0,34.0%,0.85
4,segunda,não,outono,22.1,0.0,67.9,0.0,97.0%,1.09
6,terça,não,verão,36.5,0.0,80.7,0.0,53.0%,1.93
21,quinta,não,verão,34.2,0.0,65.6,0.0,71.0%,2.05
22,quinta,não,outono,32.7,0.0,56.6,0.0,97.0%,2.65
15,domingo,não,verão,41.2,0.0,55.0,1.62,80.0%,1.45
1,sábado,não,inverno,17.1,0.0,70.1,0.0,39.0%,6.25
19,terça,não,inverno,17.1,0.0,42.2,0.0,97.0%,2.05
12,quarta,não,primavera,30.8,0.0,47.5,3.21,94.0%,2.53
16,sábado,não,primavera,31.9,0.0,37.0,2.45,97.0%,5.89
15,quinta,não,verão,43.3,0.0,51.3,2.71,73.0%,4.09
2,sábado,não,inverno,15.5,0.0,58.1,0.0,93.0%,1.45
2,domingo,não,inverno,13.1,0.0,56.6,0.0,79.0%,2.53
9,terça,não,primavera,32.3,0.0,68.6,0.54,49.0%,1.57
17,quarta,não,outono,27.4,0.0,52.8,0.31,67.0%,2.41
18,domingo,não,verão,40.5,0.0,57.3,1.14,97.0%,4.69
15,sexta,não,verão,41.9,0.0,57.3,2.15,40.0%,2.53
9,terça,não,inverno,10.5,0.0,52.8,0.1,95.0%,3.73
14,quarta,não,verão,37.8,0.0,68.6,1.13,84.0%,3.61
0,sexta,não,inverno,14.3,0.0,49.8,0.0,97.0%,3.37
6,domingo,não,primavera,24.7,0.0,67.1,0.01,65.0%,1.45
12,domingo,não,verão,34.9,0.0,60.3,1.57,26.0%,1.33
18,sexta,não,verão,34.6,0.0,54.3,0.56,97.0%,2.53
8,sábado,não,verão,33.4,0.0,49.8,0.62,92.0%,1.09
8,sábado,não,primavera,27.5,0.0,61.1,1.28,97.0%,1.93
17,terça,não,primavera,30.5,0.0,40.0,1.61,79.0%,5.41
5,sábado,não,outono,32.4,0.0,79.9,0.0,97.0%,1.21
22,domingo,não,primavera,21.3,0.0,48.3,0.0,91.0%,1.81
23,quarta,não,inverno,16.5,0.0,61.8,0.0,97.0%,1.57
0,quarta,não,inverno,18.9,0.0,49.8,0.0,62.0%,1.57
2,terça,não,verão,31.2,0.0,58.8,0.0,97.0%,1.93
15,quarta,não,inverno,21.5,5.18,83.7,0.08,15.0%,3.73
6,sábado,não,inverno,10.0,0.0,48.3,0.0,97.0%,4.33
3,sexta,não,outono,24.0,0.0,73.9,0.0,97.0%,1.81
9,segunda,não,outono,25.1,0.0,69.4,0.33,28.0%,0.49
18,sexta,não,outono,32.3,0.0,76.2,0.23,97.0%,0.97
1,segunda,não,verão,30.9,0.0,81.4,0.0,32.0%,2.29
5,quinta,não,outono,18.1,0.0,47.5,0.0,97.0%,1.21
10,domingo,não,verão,35.9,0.0,58.1,2.19,97.0%,2.17
22,quinta,não,verão,37.0,0.0,75.4,0.0,75.0%,2.05
14,quarta,não,outono,26.3,0.0,43.7,2.12,89.0%,3.13
23,quinta,não,primavera,26.8,0.0,74.7,0.0,23.0%,2.17
