hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento,aluguéis
16,sábado,não,verão,39.4,0.0,61.1,2.19,92.0%,3.49,1318
21,sexta,não,primavera,22.2,0.0,63.3,0.0,32.0%,2.89,686
16,segunda,não,verão,40.5,0.0,52.8,2.51,93.0%,3.97,831
7,segunda,sim,outono,25.6,0.0,70.9,0.0,97.0%,1.09,15
9,segunda,não,verão,39.9,0.0,58.1,1.69,62.0%,1.09,865
10,quarta,não,primavera,27.5,0.0,37.7,2.25,72.0%,3.01,771
5,sexta,não,primavera,26.0,0.0,78.4,0.0,47.0%,1.33,15
19,domingo,não,outono,28.4,0.0,63.3,0.0,96.0%,3.73,1384
22,segunda,não,inverno,19.2,0.0,87.5,0.0,11.0%,0.97,233
4,domingo,não,outono,21.8,0.0,73.9,0.0,68.0%,1.81,172
22,sexta,não,inverno,8.6,0.0,48.3,0.0,85.0%,2.41,122
3,domingo,não,inverno,12.7,0.0,44.5,0.0,97.0%,3.49,34
1,quinta,não,outono,19.6,0.0,42.2,0.0,97.0%,1.93,496
21,domingo,não,inverno,13.5,0.0,43.7,0.0,97.0%,4.45,120
11,terça,não,verão,36.1,0.0,40.7,2.83,87.0%,1.57,985
0,quinta,não,verão,32.4,0.0,70.1,0.0,53.0%,0.85,1062
14,sexta,não,outono,35.4,0.0,76.2,0.78,94.0%,1.21,538
20,segunda,não,verão,33.4,0.0,71.6,0.11,42.0%,2.41,2483
9,quarta,não,verão,33.4,0.0,62.6,1.8,50.0%,2.17,1117
21,sábado,não,primavera,31.2,0.0,61.1,0.0,94.0%,3.97,1562
22,segunda,não,primavera,29.6,0.0,67.1,0.0,62.0%,0.61,1843
4,domingo,não,verão,38.0,0.0,63.3,0.0,86.0%,1.69,315
5,domingo,não,inverno,11.9,0.0,49.0,0.0,97.0%,3.97,37
4,domingo,não,verão,32.5,0.0,83.0,0.0,84.0%,0.85,299
19,domingo,não,primavera,32.2,0.0,36.2,0.56,97.0%,2.65,2155
6,domingo,não,inverno,11.7,0.0,49.8,0.0,97.0%,3.01,44
17,sábado,sim,outono,33.9,0.0,45.2,0.95,95.0%,2.29,2408
20,sexta,não,outono,23.4,0.0,75.4,0.0,29.0%,4.93,1003
0,sexta,não,outono,33.1,0.0,73.9,0.0,96.0%,1.57,976
13,domingo,não,verão,40.3,0.0,59.6,1.49,96.0%,1.45,677
21,segunda,não,primavera,21.0,0.0,68.6,0.0,39.0%,3.85,459
22,quinta,não,inverno,17.7,0.0,80.7,0.0,67.0%,2.05,407
18,quarta,não,inverno,13.3,0.0,40.0,0.16,97.0%,4.45,401
22,quinta,não,inverno,14.9,0.0,58.1,0.0,96.0%,1.81,304
17,quarta,sim,verão,40.7,0.0,59.6,0.86,94.0%,4.93,968
